Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Monton,Anthony,28,P,OMA,AAA,R,R,2.40,8.83,4.27,2.44,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,1,1,4,42,0.167,0.202,0.265,0.153,0.183,0.235,0.294,0.652,0.054,0.70,3.36,600,163,30,3,17,36,140,Fastball,0.42,0.263,0.307,0.417,0.247,0.286,0.385,Curve,0.39,0.283,0.327,0.437,0.267,0.306,0.405,Slider,0.19,0.305,0.349,0.459,0.289,0.328,0.427,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.49,
Kalka,Brad,28,P,FRIS,ML,R,R,2.09,9.32,2.41,3.80,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,1,3,26,0.148,0.176,0.237,0.132,0.154,0.203,0.244,0.482,0.274,0.46,5.93,600,147,18,2,11,52,148,Fastball,0.36,0.234,0.295,0.329,0.224,0.283,0.311,Curve,0.29,0.254,0.315,0.350,0.244,0.303,0.331,Changeup,0.35,0.264,0.326,0.360,0.255,0.314,0.342,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.43,
Farrell,Paul,26,P,MAHO,AAA,R,R,1.30,8.72,2.57,2.83,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,1,1,4,27,0.138,0.174,0.227,0.122,0.153,0.193,0.244,0.559,0.197,0.65,6.43,600,161,28,3,16,49,121,Fastball,0.34,0.259,0.316,0.406,0.243,0.295,0.373,Curve,0.22,0.280,0.337,0.428,0.264,0.316,0.394,Changeup,0.44,0.288,0.345,0.435,0.271,0.324,0.402,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,67.19,
Sabedra,Jacob,18,P,PORT,A,R,R,3.70,8.59,3.28,3.22,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,5,20,0.149,0.192,0.197,0.131,0.170,0.163,0.358,0.465,0.177,0.59,6.23,600,166,44,5,26,40,86,Fastball,0.33,0.261,0.309,0.488,0.247,0.291,0.460,Curve,0.16,0.284,0.332,0.511,0.270,0.313,0.482,Slider,0.23,0.292,0.339,0.518,0.278,0.321,0.490,Changeup,0.28,0.300,0.348,0.527,0.286,0.330,0.499,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,62.24,
Wainright,Trayvon,23,P,FRIS,AAA,R,R,2.33,8.72,4.53,3.61,0.983,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,1,1,3,41,0.148,0.175,0.225,0.132,0.155,0.195,0.349,0.412,0.239,0.69,8.00,600,154,32,4,19,47,149,Fastball,0.19,0.233,0.290,0.399,0.217,0.269,0.368,Curve,0.25,0.254,0.310,0.420,0.238,0.289,0.388,Slider,0.22,0.267,0.324,0.434,0.252,0.303,0.402,Changeup,0.23,0.278,0.334,0.444,0.262,0.314,0.412,Sinker,0.11,0.312,0.368,0.478,0.296,0.348,0.446,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,74.64,
Schoolman,Jesse,30,P,CASP,ML,R,R,3.59,8.88,4.54,2.22,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,0,1,5,24,0.181,0.223,0.261,0.159,0.196,0.219,0.441,0.395,0.164,0.73,3.20,600,158,29,3,17,62,171,Fastball,0.34,0.248,0.318,0.399,0.235,0.302,0.373,Curve,0.17,0.270,0.341,0.421,0.257,0.324,0.396,Slider,0.26,0.278,0.349,0.429,0.265,0.332,0.403,Changeup,0.23,0.291,0.362,0.442,0.278,0.346,0.417,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.91,
Taylor,Eugene,31,P,FA,A,R,R,2.27,8.83,3.57,3.48,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,1,1,4,29,0.168,0.202,0.255,0.152,0.182,0.225,0.363,0.518,0.119,0.69,4.50,600,148,34,4,20,57,170,Fastball,0.19,0.221,0.288,0.393,0.210,0.274,0.372,Curve,0.24,0.241,0.308,0.414,0.230,0.294,0.392,Slider,0.22,0.255,0.322,0.427,0.244,0.308,0.405,Changeup,0.16,0.272,0.339,0.444,0.261,0.325,0.422,Sinker,0.19,0.279,0.346,0.451,0.268,0.332,0.429,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.88,
Bailey,Francisco,35,P,TEX,A,R,R,2.82,8.59,3.80,3.64,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,2,1,0,3,25,0.136,0.164,0.183,0.124,0.147,0.157,0.325,0.330,0.345,0.58,5.04,600,160,26,3,15,43,98,Fastball,0.59,0.266,0.317,0.402,0.250,0.297,0.370,Changeup,0.41,0.287,0.338,0.422,0.271,0.317,0.390,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,68.72,
Pelcher,Calvin,22,P,FA,A,R,R,2.06,8.90,3.95,3.23,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,0,3,29,0.167,0.194,0.194,0.153,0.175,0.166,0.310,0.388,0.302,0.73,7.05,600,160,56,6,32,61,122,Fastball,0.36,0.256,0.326,0.540,0.242,0.308,0.511,Curve,0.24,0.277,0.347,0.560,0.263,0.329,0.532,Changeup,0.40,0.286,0.356,0.569,0.271,0.337,0.540,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.50,
Pufnstuf,H.R.,35,RF,FRIS,ML,S,L,4.51,5.90,4.87,5.29,0.988,0.00,0.00,0.05,0.00,0.73,0.00,1.00,1.00,1.00,600,173,39,3,28,98,93,0.289,0.388,0.506,0.290,0.389,0.507,0.407,0.395,0.198,0.60,1.74,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.524,0.648,0.368,0.539,0.671,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.24,
Knight,John,18,P,HILL,A,L,R,2.41,9.07,3.97,2.20,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,3,40,0.133,0.155,0.165,0.147,0.175,0.195,0.298,0.371,0.330,0.61,8.00,600,176,42,5,24,42,175,Fastball,0.28,0.271,0.319,0.482,0.260,0.304,0.459,Curve,0.18,0.292,0.340,0.503,0.281,0.325,0.480,Slider,0.14,0.307,0.354,0.518,0.295,0.340,0.495,Changeup,0.25,0.310,0.358,0.521,0.298,0.343,0.498,Split Finger,0.15,0.332,0.380,0.543,0.320,0.365,0.520,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.55,
Porter,Leroy,20,P,HILL,A,R,R,3.04,8.80,2.79,2.44,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,2,1,1,6,29,0.177,0.226,0.254,0.163,0.208,0.226,0.329,0.482,0.189,0.73,7.73,600,174,29,3,17,73,106,Fastball,0.49,0.286,0.365,0.434,0.274,0.350,0.411,Changeup,0.51,0.306,0.385,0.454,0.294,0.370,0.431,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,69.74,
Uppen,Adam,19,P,FA,A,L,L,3.09,9.18,3.75,3.30,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,0,0,5,36,0.142,0.181,0.175,0.158,0.200,0.205,0.387,0.419,0.195,0.68,6.72,600,160,56,6,32,61,143,Fastball,0.28,0.236,0.302,0.505,0.250,0.320,0.533,Slider,0.19,0.257,0.323,0.526,0.271,0.341,0.554,Changeup,0.35,0.264,0.330,0.533,0.279,0.349,0.562,Sinker,0.19,0.286,0.352,0.555,0.300,0.370,0.583,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.13,
Perez,Roger,19,P,FA,A,L,L,3.45,8.68,3.83,3.77,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,0,6,37,0.154,0.200,0.167,0.166,0.216,0.193,0.255,0.481,0.264,0.70,6.04,600,174,53,6,31,52,118,Fastball,0.28,0.263,0.318,0.518,0.277,0.336,0.545,Curve,0.38,0.284,0.339,0.539,0.297,0.356,0.566,Slider,0.34,0.297,0.352,0.552,0.311,0.370,0.579,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.74,
Sparlin,Ken,22,P,ELP,AA,R,R,2.84,8.44,3.01,3.19,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,0,1,3,30,0.167,0.193,0.243,0.153,0.176,0.217,0.235,0.388,0.377,0.66,4.74,600,166,33,4,19,51,146,Fastball,0.44,0.268,0.327,0.437,0.254,0.309,0.408,Slider,0.16,0.294,0.353,0.463,0.279,0.334,0.434,Changeup,0.40,0.296,0.355,0.465,0.282,0.336,0.436,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.13,
Sa,Addie,18,P,ROME,A,R,R,2.05,8.91,3.88,3.74,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,1,0,4,35,0.166,0.200,0.232,0.154,0.185,0.208,0.251,0.575,0.174,0.66,5.41,600,168,56,6,32,47,131,Fastball,0.36,0.273,0.329,0.558,0.255,0.305,0.521,Slider,0.24,0.294,0.349,0.578,0.276,0.326,0.541,Changeup,0.40,0.303,0.358,0.587,0.284,0.334,0.550,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,54.48,
Bartel,Jim,20,P,OMA,A,R,R,1.86,8.76,3.55,3.73,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,6,37,0.146,0.197,0.193,0.134,0.181,0.167,0.303,0.467,0.231,0.73,6.70,600,142,34,4,20,59,116,Fastball,0.20,0.210,0.279,0.384,0.201,0.268,0.366,Curve,0.23,0.230,0.299,0.404,0.221,0.288,0.386,Slider,0.23,0.243,0.312,0.417,0.234,0.301,0.399,Changeup,0.21,0.256,0.325,0.430,0.247,0.314,0.412,Forkball,0.13,0.278,0.348,0.452,0.269,0.336,0.434,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.48,
McCollester,Paul,20,P,BANG,A,R,R,3.66,8.29,3.54,3.36,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,0,6,45,0.137,0.189,0.205,0.123,0.170,0.175,0.299,0.512,0.189,0.73,3.37,600,165,55,6,32,48,148,Fastball,0.18,0.252,0.307,0.527,0.241,0.294,0.507,Curve,0.31,0.273,0.328,0.549,0.263,0.315,0.528,Changeup,0.29,0.287,0.342,0.562,0.276,0.329,0.542,Forkball,0.22,0.302,0.358,0.578,0.292,0.344,0.558,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.59,
Villines,Ralph,19,P,SUGR,A,L,L,1.51,8.54,2.55,3.67,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,1,0,6,40,0.132,0.179,0.164,0.148,0.199,0.196,0.264,0.503,0.234,0.68,6.48,600,181,42,5,24,47,89,Fastball,0.43,0.277,0.324,0.475,0.294,0.347,0.510,Slider,0.33,0.297,0.345,0.495,0.315,0.367,0.530,Sinker,0.24,0.313,0.361,0.511,0.330,0.383,0.546,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.62,
Kosa,Anthony,19,P,MAIN,A,R,R,2.42,9.23,3.36,2.63,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,1,6,24,0.177,0.226,0.245,0.163,0.208,0.215,0.401,0.440,0.158,0.65,5.35,600,148,43,5,25,29,135,Fastball,0.34,0.235,0.272,0.455,0.224,0.258,0.433,Curve,0.35,0.255,0.292,0.475,0.244,0.278,0.453,Slider,0.31,0.268,0.305,0.488,0.258,0.291,0.467,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.57,
White,Patrick,20,P,FA,A,L,L,1.67,8.80,2.40,2.45,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,1,0,6,31,0.122,0.169,0.164,0.138,0.190,0.196,0.222,0.531,0.247,0.73,8.00,600,172,44,5,25,42,111,Fastball,0.33,0.253,0.298,0.461,0.268,0.316,0.490,Curve,0.24,0.274,0.318,0.481,0.288,0.337,0.510,Slider,0.17,0.290,0.334,0.497,0.304,0.353,0.526,Changeup,0.17,0.301,0.345,0.508,0.315,0.364,0.537,Sinker,0.08,0.342,0.386,0.550,0.356,0.405,0.578,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,75.21,
Jabs,John,23,P,RICH,AA,L,L,1.75,8.96,4.88,2.23,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,0,1,6,41,0.122,0.170,0.185,0.138,0.189,0.215,0.459,0.354,0.187,0.73,6.26,600,162,37,4,21,45,94,Fastball,0.32,0.240,0.288,0.413,0.257,0.310,0.447,Slider,0.24,0.260,0.309,0.433,0.277,0.330,0.467,Changeup,0.30,0.270,0.319,0.444,0.287,0.340,0.477,Forkball,0.14,0.298,0.346,0.471,0.315,0.368,0.505,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.98,
Brown,Douglas,18,P,OMA,A,R,R,2.00,9.47,4.07,2.01,0.978,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,0,0,5,32,0.137,0.181,0.174,0.123,0.162,0.146,0.474,0.366,0.160,0.73,8.00,600,163,49,5,29,64,140,Fastball,0.42,0.264,0.337,0.516,0.247,0.315,0.482,Changeup,0.32,0.284,0.357,0.536,0.267,0.336,0.503,Forkball,0.26,0.299,0.372,0.551,0.282,0.350,0.517,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.80,
Tobin,Norman,22,P,OMA,AA,R,R,2.50,9.30,3.49,2.03,0.984,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,0,1,6,23,0.164,0.213,0.229,0.156,0.202,0.211,0.270,0.560,0.169,0.71,3.54,600,167,29,3,17,42,125,Fastball,0.26,0.267,0.316,0.420,0.251,0.295,0.387,Curve,0.38,0.288,0.337,0.440,0.271,0.316,0.408,Changeup,0.36,0.301,0.350,0.454,0.285,0.329,0.421,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.50,
Treger,Trevor,18,P,WISC,A,R,R,2.60,8.22,3.71,2.77,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,2,0,0,5,33,0.140,0.184,0.169,0.120,0.159,0.131,0.326,0.477,0.197,0.68,4.17,600,193,36,4,21,59,131,Fastball,0.31,0.306,0.369,0.491,0.293,0.352,0.464,Curve,0.30,0.326,0.389,0.511,0.313,0.372,0.484,Slider,0.13,0.350,0.413,0.535,0.337,0.396,0.507,Changeup,0.26,0.348,0.411,0.532,0.334,0.393,0.505,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.36,
Marshall,Gilbert,28,P,IDA,ML,R,R,3.20,8.94,4.53,3.65,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,0,1,4,38,0.158,0.193,0.237,0.142,0.172,0.203,0.200,0.453,0.347,0.64,5.84,600,150,31,3,18,51,124,Fastball,0.25,0.233,0.295,0.398,0.210,0.265,0.350,Curve,0.19,0.254,0.316,0.418,0.230,0.285,0.371,Slider,0.20,0.266,0.328,0.430,0.242,0.297,0.383,Changeup,0.18,0.279,0.341,0.443,0.255,0.310,0.396,Sinker,0.18,0.290,0.352,0.454,0.266,0.321,0.407,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,55.51,
Kirigaya,Kazuto,36,P,AUCK,ML,R,L,3.22,8.57,2.11,2.76,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,1,0,6,34,0.158,0.208,0.225,0.142,0.188,0.195,0.165,0.413,0.422,0.73,5.34,600,152,9,1,5,40,104,Fastball,0.32,0.223,0.267,0.261,0.238,0.287,0.292,Curve,0.30,0.243,0.287,0.281,0.258,0.307,0.312,Sinker,0.32,0.255,0.299,0.293,0.270,0.319,0.324,Forkball,0.06,0.323,0.368,0.361,0.339,0.388,0.392,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,64.17,
Kernan,Truman,22,P,ELP,AA,R,R,1.35,8.60,4.18,3.47,0.984,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,1,1,6,28,0.144,0.194,0.218,0.136,0.183,0.202,0.182,0.423,0.395,0.73,4.52,600,168,22,2,13,51,133,Fastball,0.39,0.271,0.330,0.387,0.257,0.311,0.357,Curve,0.37,0.291,0.350,0.407,0.277,0.331,0.377,Changeup,0.24,0.309,0.368,0.424,0.294,0.349,0.395,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.71,
Drake,Eli,24,SS,ROCK,ML,R,R,3.49,7.00,3.64,3.07,0.966,0.00,0.00,1.00,0.00,1.00,0.75,0.73,0.19,0.00,600,174,35,2,39,111,71,0.300,0.414,0.570,0.280,0.388,0.529,0.400,0.436,0.164,0.40,1.42,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.65,
Levy,Jon,21,3B,DAY,A,R,R,3.65,7.94,3.93,3.25,0.996,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,162,30,3,4,46,48,0.280,0.334,0.371,0.261,0.310,0.333,0.277,0.345,0.377,0.60,2.97,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.541,0.674,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.78,
Vanpatten,Alvin,22,RF,SCRN,A,L,L,3.43,4.81,2.39,2.84,0.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,133,27,4,3,63,109,0.215,0.288,0.279,0.228,0.304,0.304,0.315,0.301,0.384,0.66,2.79,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.540,0.673,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.91,
Salton,Andrew,33,P,FA,A,R,R,3.71,8.40,2.84,3.50,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,2,1,1,3,30,0.137,0.164,0.214,0.123,0.146,0.186,0.343,0.507,0.149,0.59,8.00,600,170,33,4,19,36,81,Fastball,0.33,0.271,0.315,0.444,0.252,0.290,0.406,Curve,0.21,0.292,0.336,0.465,0.273,0.312,0.427,Slider,0.24,0.303,0.346,0.475,0.284,0.322,0.438,Changeup,0.23,0.315,0.359,0.488,0.296,0.335,0.450,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.02,
Royal,Dave,18,1B,CASP,A,R,R,2.80,6.46,2.28,1.70,0.997,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,143,24,3,4,72,80,0.245,0.329,0.323,0.231,0.311,0.294,0.352,0.348,0.299,0.73,1.13,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.72,
Lapointe,Jamie,23,C,FA,A,S,R,2.12,8.69,2.10,1.77,0.976,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,136,30,3,12,52,77,0.229,0.290,0.352,0.225,0.287,0.348,0.546,0.269,0.185,0.54,1.55,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,65.37,
Lopez,Walt,24,3B,HILL,ML,R,R,2.95,4.69,2.61,3.95,0.987,0.00,0.00,0.14,0.00,0.79,0.00,1.00,1.00,1.00,600,177,36,1,27,67,67,0.301,0.374,0.508,0.287,0.356,0.481,0.302,0.402,0.296,0.51,1.13,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.538,0.670,0.357,0.525,0.650,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.44,
Botts,Anthony,25,RF,PEOR,AAA,S,R,7.01,4.04,9.09,9.98,0.995,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.00,1.00,600,170,28,5,5,74,66,0.281,0.360,0.368,0.284,0.363,0.371,0.282,0.490,0.228,0.62,2.06,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,34.56,
Morton,Fritz,27,C,CHES,AAA,R,R,2.93,8.05,2.35,1.98,0.999,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.44,0.00,600,155,33,3,15,43,77,0.266,0.317,0.414,0.252,0.299,0.385,0.467,0.365,0.168,0.68,2.25,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.542,0.676,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.57,
Diaz,Kevin,26,C,RICH,AA,R,R,2.12,4.42,1.53,1.06,0.995,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,141,30,3,14,53,70,0.243,0.307,0.382,0.226,0.286,0.349,0.361,0.333,0.306,0.58,2.93,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.542,0.676,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,60.52,
